key	host	time	test	card	backend	build	parameter	value	unit	note
context_depth||vulkan|v0.2.0|DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d8192:vram	LLMWorkerHost	2026-08-26T04:01:52+0200	context_depth		vulkan	v0.2.0	DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d8192:vram	8913	MiB peak	
context_depth||vulkan|v0.2.0|DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d16384:pp	LLMWorkerHost	2026-08-26T04:02:10+0200	context_depth		vulkan	v0.2.0	DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d16384:pp	1806.77	t/s prefill	peak 9960 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d16384:tg	LLMWorkerHost	2026-08-26T04:02:10+0200	context_depth		vulkan	v0.2.0	DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d16384:tg	68.27	t/s generation	peak 9960 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d16384:vram	LLMWorkerHost	2026-08-26T04:02:10+0200	context_depth		vulkan	v0.2.0	DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d16384:vram	9960	MiB peak	
context_depth||vulkan|v0.2.0|DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d32768:pp	LLMWorkerHost	2026-08-26T04:02:45+0200	context_depth		vulkan	v0.2.0	DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d32768:pp	878.82	t/s prefill	peak 12055 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d32768:tg	LLMWorkerHost	2026-08-26T04:02:45+0200	context_depth		vulkan	v0.2.0	DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d32768:tg	49.41	t/s generation	peak 12055 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d32768:vram	LLMWorkerHost	2026-08-26T04:02:45+0200	context_depth		vulkan	v0.2.0	DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d32768:vram	12055	MiB peak	
context_depth||vulkan|v0.2.0|DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d65536:pp	LLMWorkerHost	2026-08-26T04:04:27+0200	context_depth		vulkan	v0.2.0	DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d65536:pp	539.75	t/s prefill	peak 17609 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d65536:tg	LLMWorkerHost	2026-08-26T04:04:27+0200	context_depth		vulkan	v0.2.0	DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d65536:tg	32.75	t/s generation	peak 17609 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d65536:vram	LLMWorkerHost	2026-08-26T04:04:27+0200	context_depth		vulkan	v0.2.0	DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d65536:vram	17609	MiB peak	
context_depth||vulkan|v0.2.0|DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d131072:pp	LLMWorkerHost	2026-08-26T04:25:51+0200	context_depth		vulkan	v0.2.0	DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d131072:pp	28.85	t/s prefill	peak 23342 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d131072:tg	LLMWorkerHost	2026-08-26T04:25:51+0200	context_depth		vulkan	v0.2.0	DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d131072:tg	3.57	t/s generation	peak 23342 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d131072:vram	LLMWorkerHost	2026-08-26T04:25:51+0200	context_depth		vulkan	v0.2.0	DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d131072:vram	23342	MiB peak	
context_depth||vulkan|v0.2.0|DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d262144	LLMWorkerHost	2026-08-26T04:26:10+0200	context_depth		vulkan	v0.2.0	DeepSeek-Coder-V2-Lite-Instruct-Q4_K_M:q8_0:d262144			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d0:pp	LLMWorkerHost	2026-08-26T04:26:27+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d0:pp	1295.74	t/s prefill	peak 6033 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d0:tg	LLMWorkerHost	2026-08-26T04:26:27+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d0:tg	50.11	t/s generation	peak 6033 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d0:vram	LLMWorkerHost	2026-08-26T04:26:27+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d0:vram	6033	MiB peak	
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d4096:pp	LLMWorkerHost	2026-08-26T04:26:42+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d4096:pp	1088.27	t/s prefill	peak 6641 MiB VRAM during the run
context_depth||vulkan|v0.2.0|DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d4096:tg	LLMWorkerHost	2026-08-26T04:26:42+0200	context_depth		vulkan	v0.2.0	DeepSeek-R1-Distill-Qwen-14B-Q4_K_M:f16:d4096:tg	44.23	t/s generation	peak 6641 MiB VRAM during the run
