model	build	ncmoe	pp_t_per_s	tg_t_per_s	vram_mib	seconds
qwen3.6-35b-a3b	b10273	0	1967.98	130.85	34	23
qwen3.6-35b-a3b	b10273	16	26.88	21.76	34	100
qwen3.6-35b-a3b	b10273	32	22.94	24.07	34	129
qwen3.6-35b-a3b	38a5b42d9	0	2136.41	132.92	34	26
qwen3.6-35b-a3b	38a5b42d9	16	49.57	38.90	34	83
qwen3.6-35b-a3b	38a5b42d9	32	24.96	27.58	34	128
qwen3.6-35b-a3b	fb27a525d	0	2083.43	132.48	34	21
qwen3.6-35b-a3b	fb27a525d	16	31.88	36.53	34	86
qwen3.6-35b-a3b	fb27a525d	32	32.31	27.67	34	115
